,fs_method,fs_method_kwargs,n_selected_features,score,time,codecarbon_task_id,data_dir,extractor,vm,objective_fn,target_col,num_features
0,UpperBound,{},28,0.0,0.1900196075439453,task_0,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
1,UpperBound,{},28,0.018804761904761904,0.13258671760559082,task_1,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
2,UpperBound,{},28,0.6123214285714286,0.20839190483093262,task_2,data/polcom/2022/Y/offline,catch22,VM02,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
3,UpperBound,{},28,22.993654761904764,0.13596582412719727,task_3,data/polcom/2022/Y/offline,catch22,VM02,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
4,UpperBound,{},28,47.901585542168675,0.3160414695739746,task_4,data/polcom/2022/Y/offline,catch22,VM03,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
5,UpperBound,{},28,56.256792771084335,0.20698189735412598,task_5,data/polcom/2022/Y/offline,catch22,VM03,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
6,UpperBound,{},28,10.22682168674699,0.29739880561828613,task_6,data/polcom/2022/Y/offline,catch22,VM04,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
7,UpperBound,{},28,26.301725301204815,0.17539691925048828,task_7,data/polcom/2022/Y/offline,catch22,VM04,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
8,UpperBound,{},28,96.1165642857143,0.34390735626220703,task_8,data/polcom/2022/Y/offline,catch22,VM05,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
9,UpperBound,{},28,3.824846318771834,0.3814821243286133,task_9,data/polcom/2022/Y/offline,catch22,VM05,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
10,UpperBound,{},28,13.157370238095236,0.3441030979156494,task_10,data/polcom/2022/Y/offline,catch22,VM06,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
11,UpperBound,{},28,2.189201435928003,0.4038240909576416,task_11,data/polcom/2022/Y/offline,catch22,VM06,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
12,UpperBound,{},28,19.09424285714286,0.32750773429870605,task_12,data/polcom/2022/Y/offline,catch22,VM07,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
13,UpperBound,{},28,22.04640476190476,0.20601487159729004,task_13,data/polcom/2022/Y/offline,catch22,VM07,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
14,UpperBound,{},28,5.510838095238095,0.3247873783111572,task_14,data/polcom/2022/Y/offline,catch22,VM08,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
15,UpperBound,{},28,1.8861922118232435,0.3857128620147705,task_15,data/polcom/2022/Y/offline,catch22,VM08,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
16,UpperBound,{},117,0.0,0.48543596267700195,task_16,data/polcom/2022/Y/offline,tsfel,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
17,UpperBound,{},117,0.002976190476190476,0.246718168258667,task_17,data/polcom/2022/Y/offline,tsfel,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
18,UpperBound,{},117,0.583252380952381,0.6304726600646973,task_18,data/polcom/2022/Y/offline,tsfel,VM02,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
19,UpperBound,{},117,20.671104761904765,0.19142699241638184,task_19,data/polcom/2022/Y/offline,tsfel,VM02,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
20,UpperBound,{},117,49.50059518072289,1.2527987957000732,task_20,data/polcom/2022/Y/offline,tsfel,VM03,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
21,UpperBound,{},117,56.61853132530121,0.5049216747283936,task_21,data/polcom/2022/Y/offline,tsfel,VM03,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
22,UpperBound,{},117,9.974814457831325,1.1462604999542236,task_22,data/polcom/2022/Y/offline,tsfel,VM04,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
23,UpperBound,{},117,27.513545783132525,0.4903593063354492,task_23,data/polcom/2022/Y/offline,tsfel,VM04,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
24,UpperBound,{},117,93.04754166666666,1.3847389221191406,task_24,data/polcom/2022/Y/offline,tsfel,VM05,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
25,UpperBound,{},117,4.253317959080234,1.7196719646453857,task_25,data/polcom/2022/Y/offline,tsfel,VM05,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
26,UpperBound,{},117,12.84082261904762,1.4284570217132568,task_26,data/polcom/2022/Y/offline,tsfel,VM06,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
27,UpperBound,{},117,2.1451120775642454,1.7096424102783203,task_27,data/polcom/2022/Y/offline,tsfel,VM06,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
28,UpperBound,{},117,18.593125,1.3471055030822754,task_28,data/polcom/2022/Y/offline,tsfel,VM07,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
29,UpperBound,{},117,20.513111904761907,0.6128420829772949,task_29,data/polcom/2022/Y/offline,tsfel,VM07,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
30,UpperBound,{},117,7.299446428571429,1.2785041332244873,task_30,data/polcom/2022/Y/offline,tsfel,VM08,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
31,UpperBound,{},117,2.1780207370254128,1.5884926319122314,task_31,data/polcom/2022/Y/offline,tsfel,VM08,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
32,UpperBound,{},792,0.0,0.7528014183044434,task_32,data/polcom/2022/Y/offline,tsfresh,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,792
33,UpperBound,{},792,0.002976190476190476,0.5057864189147949,task_33,data/polcom/2022/Y/offline,tsfresh,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,792
34,UpperBound,{},792,0.6358559523809524,0.9646134376525879,task_34,data/polcom/2022/Y/offline,tsfresh,VM02,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,792
35,UpperBound,{},792,20.51647738095238,0.30217599868774414,task_35,data/polcom/2022/Y/offline,tsfresh,VM02,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,792
36,UpperBound,{},792,43.260330120481925,2.2417938709259033,task_36,data/polcom/2022/Y/offline,tsfresh,VM03,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,792
37,UpperBound,{},792,55.75259638554216,0.826937198638916,task_37,data/polcom/2022/Y/offline,tsfresh,VM03,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,792
38,UpperBound,{},792,9.595360240963855,1.854468584060669,task_38,data/polcom/2022/Y/offline,tsfresh,VM04,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,792
39,UpperBound,{},792,27.09025421686747,0.8650839328765869,task_39,data/polcom/2022/Y/offline,tsfresh,VM04,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,792
40,UpperBound,{},792,85.52971666666667,2.3874876499176025,task_40,data/polcom/2022/Y/offline,tsfresh,VM05,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,792
41,UpperBound,{},792,5.193593373080554,3.0986719131469727,task_41,data/polcom/2022/Y/offline,tsfresh,VM05,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,792
42,UpperBound,{},792,13.459259523809525,2.3579020500183105,task_42,data/polcom/2022/Y/offline,tsfresh,VM06,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,792
43,UpperBound,{},792,1.8781011350410342,3.101480007171631,task_43,data/polcom/2022/Y/offline,tsfresh,VM06,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,792
44,UpperBound,{},792,17.52939166666667,2.1615946292877197,task_44,data/polcom/2022/Y/offline,tsfresh,VM07,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,792
45,UpperBound,{},792,21.688100000000002,1.0429925918579102,task_45,data/polcom/2022/Y/offline,tsfresh,VM07,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,792
46,UpperBound,{},792,6.907688095238096,2.172666549682617,task_46,data/polcom/2022/Y/offline,tsfresh,VM08,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,792
47,UpperBound,{},792,2.3104423810007613,2.9381895065307617,task_47,data/polcom/2022/Y/offline,tsfresh,VM08,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,792
